id,nombre,horasTrabajadas,sueldo
139,Bibbie,217,78120
140,Mag,150,36000
141,Lettie,167,60120
142,Yelena,107,19260
143,Dorie,166,59760
144,Wyndham,135,32400
145,Gwenette,142,34080
146,Benita,132,31680
147,Patience,100,18000
148,Caryl,224,80640
149,Edlin,162,58320
150,Blake,162,58320
151,Durant,91,16380
152,Janene,216,77760
153,Krissy,171,61560
154,Monica,235,84600
155,Janessa,194,69840
156,Herb,81,14580
157,Fred,112,20160
158,Odille,175,63000
159,Annissa,133,31920
160,Electra,202,72720
161,Brigit,166,59760
162,Martyn,174,62640
163,Bari,230,82800
164,Ralph,88,15840
165,Katheryn,223,80280
166,Norma,107,19260
167,Sayer,168,60480
168,Alix,105,18900
169,Laurie,86,15480
170,Isa,165,59400
171,Humbert,239,86040
172,Emmy,80,14400
173,Redford,127,30480
174,Sabina,166,59760
175,Lemar,123,29520
176,Ranice,104,18720
177,Robyn,103,18540
178,Rosalinda,114,20520
179,Gordon,109,19620
180,Shanda,154,36960
181,Alvan,169,60840
182,Rae,99,17820
183,Elfrida,239,86040
184,Vinny,118,21240
185,Meredith,184,66240
186,Eadmund,186,66960
187,Cazzie,222,79920
188,Colman,105,18900
189,Jojo,98,17640
190,Ives,200,72000
191,Brett,142,34080
192,Tedie,171,61560
193,Otho,107,19260
194,Ritchie,153,36720
195,Eddy,94,16920
196,Kat,131,31440
197,Dorise,217,78120
198,Alyss,80,14400
199,Lorelei,191,68760
200,Pasquale,240,86400
201,Yvonne,190,68400
202,Kilian,152,36480
203,Kacie,85,15300
204,Rube,144,34560
205,Elita,95,17100
206,Tana,114,20520
207,Pansie,118,21240
208,Iormina,131,31440
209,Juliet,199,71640
210,Ida,207,74520
211,Romona,216,77760
212,Beaufort,218,78480
213,Bern,155,37200
214,Joana,205,73800
215,Shay,201,72360
216,Ximenez,170,61200
217,Sydel,228,82080
218,Ethelda,124,29760
219,Cyrus,225,81000
220,Gerardo,168,60480
221,Barnabas,159,38160
222,Winona,175,63000
223,Hanni,209,75240
224,Lilah,166,59760
225,Tallou,194,69840
226,Riki,138,33120
227,Krystle,147,35280
228,Tracy,177,63720
229,Estella,124,29760
230,Nessy,158,37920
231,Maighdiln,236,84960
232,Hadleigh,158,37920
233,Amalita,186,66960
234,Jordan,190,68400
235,Claudius,146,35040
236,Bonni,135,32400
237,Rhetta,98,17640
238,Allister,90,16200
239,Chariot,224,80640
240,Wolfgang,204,73440
241,Bibbye,144,34560
242,Marje,168,60480
243,Conway,158,37920
244,Jenn,92,16560
245,Berty,194,69840
246,Edwin,228,82080
247,Theodoric,187,67320
248,Eirena,128,30720
249,Michele,181,65160
250,Scotti,211,75960
251,Teodora,153,36720
252,Tersina,105,18900
253,Elisha,142,34080
254,Babb,181,65160
255,Raleigh,130,31200
256,Earvin,211,75960
257,Philippe,165,59400
258,Eran,186,66960
259,Casey,153,36720
260,Celestyn,224,80640
261,Lauritz,116,20880
262,Obie,162,58320
263,Rhona,226,81360
264,Norbert,175,63000
265,Yank,94,16920
266,Rafaelita,113,20340
267,Sig,83,14940
268,Anastasia,98,17640
269,Jonah,222,79920
270,Morgen,213,76680
271,Gwenore,240,86400
272,Marven,96,17280
273,Jasmine,213,76680
274,Kassia,195,70200
275,Fidelity,227,81720
276,Leslie,230,82800
277,Brooks,83,14940
278,Julio,219,78840
279,Ezri,238,85680
280,Rana,130,31200
281,Ettore,191,68760
282,Felice,203,73080
283,Georgena,156,37440
284,Alli,192,69120
285,Demott,236,84960
286,Augustus,225,81000
287,Madelaine,168,60480
288,Nicola,135,32400
289,Bearnard,120,21600
290,Hannis,147,35280
291,Loise,170,61200
292,Walker,84,15120
293,Kissiah,136,32640
294,Ronna,210,75600
295,Shirline,103,18540
296,Florella,146,35040
297,Wyn,207,74520
298,Rosabella,104,18720
299,Rodi,235,84600
300,Vasilis,214,77040
301,Roseanne,94,16920
302,Archibaldo,230,82800
303,Pamella,80,14400
304,Bonnibelle,167,60120
305,Wesley,80,14400
306,Carin,167,60120
307,Derril,102,18360
308,Land,197,70920
309,Angele,213,76680
310,Katrina,158,37920
311,Marcella,162,58320
312,Petronia,146,35040
313,Sloan,135,32400
314,Louie,212,76320
315,Sandro,216,77760
316,Alyse,214,77040
317,Boris,148,35520
318,Rikki,221,79560
319,Johannah,218,78480
320,Valle,150,36000
321,Lelia,150,36000
322,Saree,201,72360
323,Orelie,222,79920
324,Netta,92,16560
325,Henry,212,76320
326,Gaven,199,71640
327,Veronica,85,15300
328,Betti,108,19440
329,Amelie,179,64440
330,Forbes,155,37200
331,Teddy,231,83160
332,Leta,112,20160
333,Abner,119,21420
334,Reta,172,61920
335,Caprice,221,79560
336,Harris,117,21060
337,Curran,227,81720
338,Chev,167,60120
339,Ally,141,33840
340,Alisander,115,20700
341,Stearne,147,35280
342,Hunter,146,35040
343,Aubree,220,79200
344,Allin,197,70920
345,Donalt,152,36480
346,Dannie,166,59760
347,Delano,116,20880
348,Fee,114,20520
349,Sigismund,220,79200
350,Sandy,178,64080
351,Helena,126,30240
352,Rocky,115,20700
353,Ray,112,20160
354,Eyde,106,19080
355,Terry,137,32880
356,Ardra,163,58680
357,Melicent,218,78480
358,Dorie,204,73440
359,Nollie,97,17460
360,Dilan,104,18720
361,Myrtle,228,82080
362,Arabel,217,78120
363,Christos,94,16920
364,Leticia,131,31440
365,Veronika,226,81360
366,Blithe,199,71640
367,Chad,100,18000
368,Leonanie,206,74160
369,Doralin,227,81720
370,Pen,96,17280
371,Nadiya,155,37200
372,Arabela,100,18000
373,Kerrie,168,60480
374,Colver,227,81720
375,Taddeusz,139,33360
376,Chic,151,36240
377,Dorisa,223,80280
378,Mirelle,232,83520
379,Channa,144,34560
380,Wandis,183,65880
381,Rebeka,114,20520
382,Gran,198,71280
383,Audi,137,32880
384,Tessy,177,63720
385,Ignacius,216,77760
386,Manuel,104,18720
387,Kerk,193,69480
388,Maxwell,227,81720
389,Carmelle,165,59400
390,Galvin,92,16560
391,Courtney,222,79920
392,Karney,132,31680
393,Tris,190,68400
394,Andie,165,59400
395,Tasia,105,18900
396,Aryn,218,78480
397,Ninetta,212,76320
398,Vick,109,19620
399,Laurice,216,77760
400,Junette,93,16740
401,Cherin,210,75600
402,Phillis,148,35520
403,Kyla,157,37680
404,Carmina,178,64080
405,El,125,30000
406,Janetta,116,20880
407,Guillema,166,59760
408,Sara,235,84600
409,Marcella,207,74520
410,Beaufort,136,32640
411,Torre,87,15660
412,Cammy,127,30480
413,Brose,233,83880
414,Stepha,148,35520
415,Margalit,200,72000
416,Duffie,94,16920
417,Rowe,208,74880
418,Demetri,107,19260
419,Packston,226,81360
420,Madison,108,19440
421,Tiphani,164,59040
422,Wendall,188,67680
423,Tiphany,180,64800
424,Sharleen,206,74160
425,Virgina,166,59760
426,Trevor,202,72720
427,Lynea,233,83880
428,Tarra,121,29040
429,Liam,127,30480
430,Ania,129,30960
431,Arlan,82,14760
432,Kiri,156,37440
433,Ferdinanda,227,81720
434,Melisande,190,68400
435,Donelle,120,21600
436,Ignace,181,65160
437,Josh,127,30480
438,Kevyn,238,85680
439,Benny,233,83880
440,Walton,134,32160
441,Josias,172,61920
442,Fiorenze,225,81000
443,Pierson,152,36480
444,Romonda,146,35040
445,Abraham,141,33840
446,Zelda,108,19440
447,Cointon,180,64800
448,Leonid,125,30000
449,Gal,194,69840
450,Andrei,152,36480
451,Melamie,114,20520
452,Farrand,142,34080
453,Alfy,207,74520
454,Simonne,151,36240
455,Chauncey,87,15660
456,Austina,224,80640
457,Goldia,239,86040
458,Osborne,163,58680
459,Ertha,115,20700
460,Francine,170,61200
461,Hill,108,19440
462,Charmaine,232,83520
463,Eimile,90,16200
464,Theo,113,20340
465,Dimitri,203,73080
466,Seamus,132,31680
467,Dido,191,68760
468,Gerladina,117,21060
469,Des,177,63720
470,Horace,120,21600
471,Calida,138,33120
472,Murielle,224,80640
473,Rosamund,147,35280
474,Sorcha,93,16740
475,Shandee,102,18360
476,Tildi,206,74160
477,Oren,135,32400
478,Chrysler,100,18000
479,Rolando,159,38160
480,Renell,133,31920
481,Brigitte,203,73080
482,Lu,210,75600
483,Simonette,132,31680
484,Rockey,189,68040
485,Hertha,148,35520
486,Tarrah,82,14760
487,Mikey,233,83880
488,Carlin,157,37680
489,Filmer,131,31440
490,Leigh,126,30240
491,Amil,145,34800
492,Earlie,104,18720
493,Gianna,144,34560
494,Bentley,109,19620
495,Horatia,106,19080
496,Rosamund,101,18180
497,Jeralee,134,32160
498,Alec,170,61200
499,Bary,191,68760
500,Bev,194,69840
501,Shauna,176,63360
502,Del,105,18900
503,Anthiathia,91,16380
504,Brandie,180,64800
505,Hollyanne,120,21600
506,Rowen,104,18720
507,Juli,192,69120
508,Ardra,207,74520
509,Elton,173,62280
510,Elmira,216,77760
511,Nara,179,64440
512,Wallas,228,82080
513,Scotty,223,80280
514,Tabb,171,61560
515,Yancey,209,75240
516,Homer,209,75240
517,Abbe,166,59760
518,Goran,136,32640
519,Tally,167,60120
520,Katinka,178,64080
521,Sigfrid,109,19620
522,Grantham,141,33840
523,Briano,146,35040
524,Ronica,186,66960
525,Emlen,227,81720
526,Annabel,215,77400
527,Waldo,215,77400
528,Cad,157,37680
529,Karlen,200,72000
530,Minni,110,19800
531,Nananne,156,37440
532,Gary,136,32640
533,Jefferey,153,36720
534,Marlo,223,80280
535,Franny,123,29520
536,Danell,145,34800
537,Elysha,149,35760
538,Claudius,106,19080
539,Dilly,178,64080
540,Dyan,91,16380
541,Perry,188,67680
542,Pace,233,83880
543,Dalila,127,30480
544,Skipp,235,84600
545,Gal,229,82440
546,Sigismund,106,19080
547,Derick,223,80280
548,Florenza,225,81000
549,Egbert,236,84960
550,Arliene,198,71280
551,Caren,179,64440
552,Ginger,84,15120
553,Morgan,127,30480
554,Angeli,109,19620
555,Wallache,100,18000
556,Alexandrina,206,74160
557,Mirabella,183,65880
558,Gamaliel,180,64800
559,Karisa,102,18360
560,Walker,191,68760
561,Art,186,66960
562,Juanita,139,33360
563,Lynsey,151,36240
564,Decca,202,72720
565,Margie,225,81000
566,Nils,137,32880
567,Ryan,169,60840
568,Quintina,113,20340
569,Karlik,122,29280
570,Care,204,73440
571,Athena,191,68760
572,Ansell,209,75240
573,Dugald,113,20340
574,Laraine,166,59760
575,Reggis,216,77760
576,Robert,101,18180
577,Cassi,209,75240
578,Kelly,184,66240
579,Efrem,154,36960
580,Gibb,161,57960
581,Cash,228,82080
582,Lew,157,37680
583,Ros,127,30480
584,Maximo,177,63720
585,Lynn,206,74160
586,Waring,131,31440
587,Zuzana,214,77040
588,Lombard,110,19800
589,Laurena,156,37440
590,Gwynne,116,20880
591,Carlie,206,74160
592,Darbie,145,34800
593,Fleurette,181,65160
594,Leilah,127,30480
595,Newton,111,19980
596,Esra,168,60480
597,Laurice,119,21420
598,Neala,218,78480
599,Archibald,100,18000
600,Meghan,187,67320
601,Gregoor,200,72000
602,Cassandry,120,21600
603,Rahel,223,80280
604,Chiquita,90,16200
605,Casey,221,79560
606,Georgina,159,38160
607,Axe,90,16200
608,Marline,236,84960
609,Matty,152,36480
610,Josias,114,20520
611,Ag,200,72000
612,Dannie,94,16920
613,Gusty,95,17100
614,Abraham,210,75600
615,Bernadette,212,76320
616,Farra,191,68760
617,Miner,113,20340
618,Layton,211,75960
619,Roderigo,215,77400
620,Karrie,150,36000
621,Eirena,85,15300
622,Tracee,80,14400
623,Normand,157,37680
624,Joan,226,81360
625,Evangeline,177,63720
626,Kristian,103,18540
627,Junina,192,69120
628,Thom,221,79560
629,Margy,215,77400
630,Thorn,117,21060
631,Jamie,130,31200
632,Flss,219,78840
633,Ad,141,33840
634,Jeanie,183,65880
635,Luigi,236,84960
636,Kory,206,74160
637,Chloette,146,35040
638,Dorolisa,107,19260
639,Thain,222,79920
640,Manya,189,68040
641,Otto,188,67680
642,Raynard,126,30240
643,Giulio,150,36000
644,Lambert,234,84240
645,Terese,107,19260
646,Nannette,146,35040
647,Reuben,203,73080
648,Biron,81,14580
649,Lynnette,207,74520
650,Irv,225,81000
651,Hammad,115,20700
652,Cilka,238,85680
653,Killian,86,15480
654,Bent,149,35760
655,Skippy,96,17280
656,Nil,117,21060
657,Jake,99,17820
658,Jordan,232,83520
659,Ange,99,17820
660,Yardley,127,30480
661,Rhonda,185,66600
662,Lisle,151,36240
663,Durand,125,30000
664,Nickie,163,58680
665,Louisa,224,80640
666,Alyssa,173,62280
667,Harman,112,20160
668,Annemarie,240,86400
669,Aryn,127,30480
670,Daniela,178,64080
671,Jania,191,68760
672,Mirabella,202,72720
673,Ashly,135,32400
674,Blake,199,71640
675,Kaycee,185,66600
676,Murray,146,35040
677,Aloin,110,19800
678,Carroll,203,73080
679,Randy,221,79560
680,Joyann,198,71280
681,Yale,202,72720
682,Abraham,220,79200
683,Othella,207,74520
684,Alanna,238,85680
685,Clevey,102,18360
686,Darb,201,72360
687,Eugenie,164,59040
688,Brunhilde,80,14400
689,Bernardine,166,59760
690,Pasquale,201,72360
691,Clarinda,95,17100
692,Elwyn,155,37200
693,Megan,207,74520
694,Chrisse,99,17820
695,Gennie,176,63360
696,Emmalee,216,77760
697,Adria,184,66240
698,Bliss,96,17280
699,Issy,132,31680
700,Phillida,203,73080
701,Hagen,104,18720
702,Jaine,135,32400
703,Bette,219,78840
704,Issy,222,79920
705,Bernardina,156,37440
706,Tate,185,66600
707,Madelon,171,61560
708,Amie,146,35040
709,Ninette,167,60120
710,Anneliese,80,14400
711,Rosanne,203,73080
712,Genvieve,151,36240
713,Noam,201,72360
714,Gracie,213,76680
715,Gunter,136,32640
716,Silvanus,125,30000
717,Johnath,168,60480
718,Clotilda,225,81000
719,Yvonne,126,30240
720,Colleen,169,60840
721,Avril,198,71280
722,Zechariah,155,37200
723,Angeli,155,37200
724,Cammy,87,15660
725,Donella,169,60840
726,Leone,240,86400
727,Rey,168,60480
728,Angel,151,36240
729,Ches,166,59760
730,Haley,122,29280
731,Vittoria,155,37200
732,Gratiana,128,30720
733,Randi,106,19080
734,Jodi,81,14580
735,Rosabella,198,71280
736,Lev,156,37440
737,Jennette,141,33840
738,Lin,234,84240
739,Maisie,159,38160
740,Georgi,109,19620
741,Obidiah,199,71640
742,Algernon,229,82440
743,Aurelia,133,31920
744,Elbertina,189,68040
745,Liana,93,16740
746,Babbie,226,81360
747,Hamlin,162,58320
748,Deana,218,78480
749,Lita,141,33840
750,Merrili,180,64800
751,Pammy,221,79560
752,Jenda,136,32640
753,Belva,182,65520
754,Madelon,234,84240
755,Homerus,210,75600
756,Luther,174,62640
757,Lulu,115,20700
758,Read,91,16380
759,Filmore,86,15480
760,Herrick,122,29280
761,Dolph,103,18540
762,Tedi,228,82080
763,Rosanna,139,33360
764,Jo,102,18360
765,Brandea,156,37440
766,Brice,237,85320
767,Penny,163,58680
768,Janela,102,18360
769,Karyn,155,37200
770,Dalia,120,21600
771,Lizette,143,34320
772,Cacilia,154,36960
773,Ezequiel,150,36000
774,Corey,89,16020
775,Aurelea,229,82440
776,Joshia,220,79200
777,Karoly,212,76320
778,Gary,145,34800
779,Shelley,146,35040
780,Peirce,232,83520
781,Alis,155,37200
782,Marlowe,96,17280
783,Melisenda,105,18900
784,Gib,235,84600
785,Henry,215,77400
786,Ly,85,15300
787,Arlan,173,62280
788,Aleksandr,164,59040
789,Janina,152,36480
790,Yank,192,69120
791,Molli,81,14580
792,Shayna,224,80640
793,Roberto,207,74520
794,Pail,161,57960
795,Montgomery,157,37680
796,Brittne,114,20520
797,Fayth,221,79560
798,Vin,169,60840
799,Rhea,82,14760
800,Armando,216,77760
801,Hedvig,238,85680
802,Bili,152,36480
803,Lindsy,123,29520
804,Bartie,92,16560
805,Colver,203,73080
806,Brooks,185,66600
807,Glynn,172,61920
808,Gerardo,126,30240
809,Blaire,181,65160
810,Rees,206,74160
811,Eleanor,207,74520
812,Wilhelmine,148,35520
813,Gaelan,154,36960
814,Freddy,125,30000
815,Gwenny,208,74880
816,Wynnie,104,18720
817,Basilio,181,65160
818,Harland,131,31440
819,Esma,223,80280
820,Boothe,221,79560
821,Aleta,209,75240
822,Manon,160,38400
823,Sergeant,210,75600
824,Cordy,94,16920
825,Michail,135,32400
826,Aime,178,64080
827,Stanford,234,84240
828,Euell,134,32160
829,Gibb,152,36480
830,Natividad,88,15840
831,Shane,181,65160
832,Barbra,219,78840
833,Courtney,121,29040
834,Doug,209,75240
835,Alfons,167,60120
836,Bertine,95,17100
837,Winnie,224,80640
838,Ibrahim,212,76320
839,Forester,143,34320
840,Evelyn,226,81360
841,Juliann,102,18360
842,Sarah,90,16200
843,Berkly,108,19440
844,Stormy,208,74880
845,Harrie,129,30960
846,Cosmo,179,64440
847,Noe,97,17460
848,Giulio,96,17280
849,Quinn,176,63360
850,Frankie,117,21060
851,Parke,115,20700
852,Tamara,113,20340
853,Colas,99,17820
854,Karry,182,65520
855,Al,205,73800
856,Gilli,209,75240
857,Monah,160,38400
858,Brietta,172,61920
859,Chase,193,69480
860,Claribel,142,34080
861,Anthia,108,19440
862,Ray,233,83880
863,Jaclin,238,85680
864,Kathrine,204,73440
865,Drew,188,67680
866,Fidel,146,35040
867,Hansiain,116,20880
868,Hoyt,171,61560
869,Benni,84,15120
870,Frieda,226,81360
871,Tonie,146,35040
872,Tressa,159,38160
873,Murray,178,64080
874,Brett,192,69120
875,Ruby,225,81000
876,Maggi,220,79200
877,Marcos,238,85680
878,Cherye,179,64440
879,Tressa,162,58320
880,Mortimer,105,18900
881,Nettle,181,65160
882,Jesus,171,61560
883,Gay,158,37920
884,Arabelle,204,73440
885,Pablo,240,86400
886,Amelita,208,74880
887,Amil,123,29520
888,Shay,86,15480
889,Constantin,178,64080
890,Isidoro,158,37920
891,Philip,239,86040
892,Horst,205,73800
893,Jamal,237,85320
894,Tedda,188,67680
895,Winnie,182,65520
896,Haze,153,36720
897,Isadora,205,73800
898,Sidoney,158,37920
899,Yuri,82,14760
900,Spike,186,66960
901,Lorry,126,30240
902,Richmound,123,29520
903,Constancia,194,69840
904,Meghann,96,17280
905,Trude,136,32640
906,Reinald,102,18360
907,Cheston,181,65160
908,Godfry,196,70560
909,Edik,108,19440
910,Mortie,114,20520
911,Dun,132,31680
912,Ailyn,186,66960
913,Reggi,115,20700
914,Sheppard,112,20160
915,Curt,240,86400
916,Boigie,212,76320
917,Dulci,183,65880
918,Lisette,211,75960
919,Kimmie,143,34320
920,Sibilla,237,85320
921,Faunie,137,32880
922,Loria,154,36960
923,Nealon,175,63000
924,Skipp,137,32880
925,Tiena,95,17100
926,Galvin,195,70200
927,Erda,135,32400
928,Lulita,197,70920
929,Ringo,181,65160
930,Conn,115,20700
931,Allyson,91,16380
932,Joya,178,64080
933,Rafferty,87,15660
934,Debby,181,65160
935,Anne-marie,231,83160
936,Clayson,229,82440
937,Jennine,115,20700
938,Drona,164,59040
939,Brynna,196,70560
940,Francisco,140,33600
941,Charlene,176,63360
942,Egor,189,68040
943,Westleigh,88,15840
944,Suzanna,142,34080
945,Noe,105,18900
946,Dewey,145,34800
947,Cornelius,226,81360
948,Georgie,184,66240
949,Sherman,182,65520
950,Humphrey,211,75960
951,Vale,210,75600
952,Chiquita,181,65160
953,Burr,102,18360
954,Harmonia,179,64440
955,Giacomo,190,68400
956,Brian,196,70560
957,Irwinn,174,62640
958,Ashleigh,216,77760
959,Morty,192,69120
960,Chaddy,227,81720
961,Garik,97,17460
962,Cookie,100,18000
963,Waldo,207,74520
964,Mariam,216,77760
965,Bryna,102,18360
966,Joannes,147,35280
967,Donielle,186,66960
968,Emma,227,81720
969,Normand,109,19620
970,Gavrielle,125,30000
971,Seumas,96,17280
972,Wyatt,176,63360
973,Bogart,174,62640
974,Ellette,215,77400
975,Enrico,123,29520
976,Christoffer,153,36720
977,Riannon,209,75240
978,Jenelle,110,19800
979,Fredrika,143,34320
980,Francisco,85,15300
981,Torr,234,84240
982,Valerye,136,32640
983,Anthia,84,15120
984,Stormi,135,32400
985,Randal,119,21420
986,Hugh,142,34080
987,Marlane,92,16560
988,Tybie,109,19620
989,Bethanne,236,84960
990,Karoly,85,15300
991,Wendie,225,81000
992,Giselle,175,63000
993,Sisely,158,37920
994,Jen,152,36480
995,Tabbie,110,19800
996,Mab,127,30480
997,Viole,131,31440
998,Abbye,125,30000
999,Lauralee,95,17100
1000,Jessie,175,63000
